package_name,version,application_type,Category
GuardedID,dl. 2017-03-09,Encryption,Security Monitoring Tools
Sweet Home 3D,5.4.1,Design and drafting,CAD / Engineering Tools
Express Scribe,dl. 03-09-2017,Typing tool,Office Productivity
D3DGear,dl 03-09-2017,recording software,Office Productivity
Lenovo Solution Center for Windows 32-bit,3.4.002,Operating System,Data Science Tools
Lenovo Solution Center for Windows 64-bit,3.4.002,Operating System,Data Science Tools
Lenovo Solution Center Patch for LSC,3.3.003,Diagnostic,System Administration Tools
Lenovo LSC Lite 32-bit,4.13.0.8857,Diagnostic,System Administration Tools
Lenovo LSC Lite 64-bit,4.13.0.8857,Diagnostic,System Administration Tools
MATLAB,R2017a,Engineering,CAD / Engineering Tools
MATLAB,R2016b,Engineering,CAD / Engineering Tools
Firefox,52.0,Web Browser,Web Browser
liteCam Game,Full,video editing,Office Productivity
DragonFly BSD,4.6.1,Operating System,System Administration Tools
Raspbian Jessie with Pixel,4.4,Operating System,System Administration Tools
HandBrake,1.0.3,dvd ripper,Office Productivity
Raspbian Jessie Lite,4.4,Operating System,System Administration Tools
OSMC,dl. 03-16-2017,Operating System,System Administration Tools
Movavi Game Capture,4.0,video streaming,Office Productivity
MOHO,12,Graphic/Drawing,CAD / Engineering Tools
H&R Block Homeowners/Investors Deluxe 2016,2016,Tax,Office Productivity
HandBrake Windows GUI 32,1.0.2,dvd ripper,Office Productivity
HandBrake Windows GUI 64,1.0.2,dvd ripper,Office Productivity
HandBrake Windows GUI 32,1.0.1,dvd ripper,Office Productivity
HandBrake Source Code,1.0.1,dvd ripper,Office Productivity
HandBrake Windows GUI 64,1.0.1,dvd ripper,Office Productivity
VirtualBox Extension Pack,5.1.18,virtualization,Virtualization Tools
VirtualBox,5.1.18,virtualization,Virtualization Tools
HandBrake Windows GUI,1.0.0,dvd ripper,Office Productivity
HandBrake Windows GUI 64,1.0.0,dvd ripper,Office Productivity
HandBrake Windows GUI 32,0.10.5,dvd ripper,Office Productivity
HandBrake Windows GUI 64,0.10.5,dvd ripper,Office Productivity
VirtualBox,5.1.16,virtualization,Virtualization Tools
VirtualBox,5.1.14,virtualization,Virtualization Tools
VirtualBox,5.1.12,virtualization,Virtualization Tools
VirtualBox,5.1.10,virtualization,Virtualization Tools
VirtualBox,5.1.8,virtualization,Virtualization Tools
VirtualBox,5.1.6,virtualization,Virtualization Tools
VirtualBox,5.1.4,virtualization,Virtualization Tools
VirtualBox,5.1.2,virtualization,Virtualization Tools
VirtualBox,5.1.0,virtualization,Virtualization Tools
McAfee Total Protection 1 PC,2014,Security,Office Productivity
Video Sound Cleaning Lab,dl. 03-27-2017,Audio Editing,Office Productivity
MP3 Deluxe,19,Audio Editing,Office Productivity
Fastcut,dl. 03-27-2017,video editing,Office Productivity
Music Studio,10,Audio Editing,Office Productivity
Acid Pro,7,Audio Editing,Office Productivity
FFSPLIT,0.7.0,Software,Office Productivity
FFSPLIT Older Stable Build (Exe Installer),dl. 04-25-2017,video capture,Office Productivity
HandBrake GUI for i686,0.9.8,dvd ripper,Office Productivity
HandBrake GUI,0.9.8,dvd ripper,Office Productivity
HandBrake GUI for i686,0.9.6,dvd ripper,Office Productivity
Firefox,51.0,Web Browser,Web Browser
Firefox,50.0,Web Browser,Web Browser
Vegas Movie Studio Platinum,v. 14,Video,Office Productivity
Vegas Pro,14,video editing,Office Productivity
TurboCAD Deluxe 2D/3D,2016,computer aided design (cad),CAD / Engineering Tools
Battlefield Hardline,2015,"Game,Videogame",Kiosk / Public Access Software
Open Office 2017,4.1.2,Database,Database Tools
Drivers and Documentation for Dell KB813 Smart Card Keyboard,October 2016,Documentation and drivers,System Administration Tools
Malwarebytes,3.0.6.1469,anti malware,Office Productivity
Microsoft Security Essentials Definition,"Apr. 28, 2017",Anti Virus,Security Monitoring Tools
Total Commander,9.0a,File Management,Office Productivity
Mobogenie,3.3.7,Application Management,Office Productivity
Autopsy (64-bit),4.3.0,Forensic,Digital Forensics Tools
Autopsy (32-bit),4.3.0,Forensic,Digital Forensics Tools
Music Maker,1.0,recording software,Office Productivity
Forensic Imager,1.1.0.146,Forensic,Digital Forensics Tools
DEFT Zero,2017.1,Forensic,Digital Forensics Tools
HandBrake GUI,0.9.5,dvd ripper,Office Productivity
HandBrake GUI,0.9.4,dvd ripper,Office Productivity
Inkscape,0.92.1,Graphic/Drawing,CAD / Engineering Tools
Microsoft User Mode Process Dumper,8.1,process dumper,Office Productivity
Sandboxie,5.18,Security tool,Office Productivity
Sony Xperia PC Companion,4.1.100,data transfer,Office Productivity
GMABooster,2.1b,performance tool,Office Productivity
Irfran View Plugins,4.44,plug-in,Office Productivity
SpywareBlaster,5.5,Security,Office Productivity
Total Commander,9.0a RC3,File Management,Office Productivity
Disk Drill,2.0.285,File Recovery,System Administration Tools
K-Lite Codec Pack Update,13.1.4,compression,Office Productivity
Game Booster,4.1.59.0.1,"Game,Videogame",Kiosk / Public Access Software
Bit Comet,1.45,torrent,Office Productivity
Redline,1.20,Forensic,Digital Forensics Tools
Inkscape,0.91,Graphic/Drawing,CAD / Engineering Tools
Inkscape - Portable App,0.91,Graphic/Drawing,CAD / Engineering Tools
"Inkscape - binary (debug files, 7z)",0.91,Graphic/Drawing,CAD / Engineering Tools
Inkscape - Windows 64-bit: msi,0.91,Graphic/Drawing,CAD / Engineering Tools
"Inkscape (debug files, 7z)",0.91,Graphic/Drawing,CAD / Engineering Tools
Minecraft,1.11.2,"Game,Videogame",Kiosk / Public Access Software
Parallax Previewer,1A68,Image Viewer,Office Productivity
Bonjour SDK,3.0,Applications,Office Productivity
Ultrasurf,16.03,Internet Security,Security Monitoring Tools
iTunes,12.6.0,Media Player,Office Productivity
Safari,5.1.7,Web Browser,Web Browser
McAfee SuperDAT Update 8525,"May 11, 2017",Security,Office Productivity
McAfee Super DAT,Update 8525,Antivirus,Security Monitoring Tools
ImgBurn,2.5.8.0,cd/dvd burning,Office Productivity
Virtual Box Oracle VM Extension Pack,5.1.22,virtualization,Database Tools
Adobe Flash Player for Opera and Chromium - PPAPI,25.0.0.171,Media Player,Web Browser
Adobe Flash Player for Firefox,25.0.0.171,Media Player,Web Browser
Adobe Flash Player for Internet Explorer - ActiveX,25.0.0.171,Media Player,Web Browser
Adobe Flash Player for Firefox - NPAPI,25.0.0.171,Media Player,Web Browser
Security Update for Windows 8 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows XP SP3 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows Vista (KB4012598),"Mar. 12, 2017",Operating System,System Administration Tools
Security Update for Windows Server 2008 (KB4012598),"Mar. 12, 2017",Operating System,System Administration Tools
Security Update for Windows Server 2003 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows XP SP3 for XPe (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows XP SP2 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows Server 2008 for Itanium (KB4012598),"Mar. 12, 2017",Operating System,System Administration Tools
Security Update for Windows WES09 and POSReady 2009 (KB4012598),"Mar. 12, 2017",Operating System,System Administration Tools
Preview of Monthly Quality Rollup for Windows 7 (KB4012218),"Mar. 16, 2017",Operating System,System Administration Tools
Preview of Monthly Quality Rollup for Windows 7 for x64-based Systems (KB4012218),"Mar. 16, 2017",Operating System,System Administration Tools
Preview of Monthly Quality Rollup for Windows Server 2008 R2 x64 Edition (KB4012218),"Mar. 16, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows 7 (KB4012212),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows 7 x64 (KB4012212),"Mar. 28, 2017",Operating System,System Administration Tools
Windows 10 (Mulitple Editions),"1703, 04/04/17",Operating System,System Administration Tools
Windows 10 Upgrade,9252,Operating System,System Administration Tools
Windows 10 Media Creation Tool,dl. 2017-05-18,Operating System,System Administration Tools
Security Only Quality Update for Windows Embedded Standard 7 x64 (KB4012212),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Server 2008 R2 for x64 (KB4012212),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Server 2008 R2 for Itanium (KB4012212),"Mar. 28, 2017",Operating System,System Administration Tools
Windows 10 ISO x64,dl. 2017-05-18,Operating System,System Administration Tools
Windows 10 ISO x32,dl. 2017-05-18,Operating System,System Administration Tools
Windows 10 Enterprise,"1703, 04/04/17",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows 7 (KB4012215),"Mar. 12, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Server 2008 R2 x64 (KB4012215),"Mar. 12, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Embedded Standard 7 (KB4012215),"Mar. 7, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Server 2008 R2 for Itanium-based Systems (KB4012215),"Mar. 12, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows 7 x64 (KB4012215),"Mar. 12, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Embedded Standard 7 x64 (KB4012215),"Mar. 12, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows 8.1 (KB4012213),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows 8.1 x64 (KB4012213),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Server 2012 R2 (KB4012213),"Mar. 28, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows 8.1 x64-based Systems (KB4012216),"Mar. 12, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Server 2012 R2 (KB4012216),"Mar. 12, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows 8.1 (KB4012216),"Mar. 12, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Embedded 8 Standard (KB4012214),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Embedded 8 Standard x64 (KB4012214),"Mar. 28, 2017",Operating System,System Administration Tools
Security Only Quality Update for Windows Server 2012 (KB4012214),"Mar. 28, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Server 2012 (KB4012217),"Mar. 13, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Embedded 8 Standard x64-based Systems (KB4012217),"Mar. 13, 2017",Operating System,System Administration Tools
Security Monthly Quality Rollup for Windows Embedded 8 Standard (KB4012217),"Mar. 13, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 (KB4012606),"Mar. 10, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 x64 (KB4012606),"Mar. 10, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 Version 1511 x64 (KB4012198),"Mar. 10, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 Version 1511 x86 (KB4012198),"Mar. 10, 2017",Operating System,System Administration Tools
Delta Update for Windows 10 x64  Version 1607 (KB4013429),"Mar. 11, 2017",Operating System,System Administration Tools
Delta Update for Windows Server 2016 for x64-based Systems (KB4013429),"Mar. 11, 2017",Operating System,System Administration Tools
Delta Update for Windows 10 x86 (KB4013429),"1607, 3/11/2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4013429),"Mar. 11, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 Version 1607 (KB4013429),"Mar. 11, 2017",Operating System,System Administration Tools
Cumulative Update for Windows Server 2016 x64 (KB4013429),"Mar. 11, 2017",Operating System,System Administration Tools
Security Update for Windows Server 2003 x64 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows 8 x64 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows XP SP3 FOR XPe (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows XP SP2 x64 (KB4012598),"May 13, 2017",Operating System,System Administration Tools
Security Update for Windows Vista x64 (KB4012598,"Mar. 12, 2017",Operating System,System Administration Tools
Security Update for Windows Server 2008 x64 (KB4012598),"Mar. 12, 2017",Operating System,System Administration Tools
Security Update for WES09 and POSReady 2009 (KB4012598),"Mar. 12, 2017",Operating System,System Administration Tools
Slack,2.6.0,Messenger,Communication Tools
Slack,2.6.2-beta1,Messenger,Communication Tools
Samba,4.6.4,Interoperability solution,Office Productivity
Samba,4.6.3,Interoperability solution,Office Productivity
Samba,4.6.2,Interoperability solution,Office Productivity
Samba,4.6.1,Interoperability solution,Office Productivity
